date,NDVI,sensor
2022-05-01,0.46641851646216986,Landsat
2022-05-01,0.4724956195437839,Landsat
2022-05-17,0.5741817760472436,Landsat
2022-05-17,0.5757949280730776,Landsat
2022-05-25,0.5497019487523515,Landsat
2022-05-25,0.560472305054452,Landsat
2022-06-02,0.528401697968249,Landsat
2022-06-02,0.5291649469039822,Landsat
2022-06-10,0.38660525274783597,Landsat
2022-06-10,0.5115855148620542,Landsat
2022-07-12,0.6186160128509947,Landsat
2022-07-20,0.7108972540288373,Landsat
2022-07-20,0.7119342570751768,Landsat
2022-07-28,0.7201453562605342,Landsat
2022-07-28,0.7241910833002384,Landsat
2022-08-21,0.755386702262486,Landsat
2022-08-21,0.7430065567749884,Landsat
2022-09-06,0.7638901906294163,Landsat
2022-09-06,0.765523686997313,Landsat
2022-09-14,0.724946002658038,Landsat
2022-09-14,0.7464847318060083,Landsat
2022-09-22,0.7032696329439753,Landsat
2022-09-22,0.7081827695826367,Landsat
2022-10-24,0.7211649503071961,Landsat
2022-10-24,0.7242794533843172,Landsat
2022-11-09,0.7301375543768728,Landsat
2022-11-09,0.7324323986086574,Landsat
2022-11-17,0.7424061546192492,Landsat
2022-11-17,0.7453512234724443,Landsat
2022-11-25,0.801765650900139,Landsat
2022-11-25,0.7924255792556505,Landsat
2022-12-03,0.7659442108982153,Landsat
2022-12-19,0.7211935096272513,Landsat
2022-12-19,0.7221891009576498,Landsat
2022-12-27,0.7533457806335355,Landsat
2022-12-27,0.75626518582572,Landsat
2023-01-04,0.7048709806079572,Landsat
2023-01-04,0.7076490523075508,Landsat
2023-01-12,0.7071824929104846,Landsat
2023-01-12,0.7059225167455455,Landsat
2023-01-20,0.701408184027019,Landsat
2023-01-20,0.6923161951599177,Landsat
2023-02-05,0.6526481959564959,Landsat
2023-02-05,0.6543132078599568,Landsat
2023-02-13,0.6176488872690903,Landsat
2023-02-13,0.6209702069847158,Landsat
2023-02-21,0.5914045963193107,Landsat
2023-02-21,0.5941393630647512,Landsat
2023-03-01,0.5622121114312507,Landsat
2023-03-01,0.5653284803521819,Landsat
2023-03-09,0.4986474901070858,Landsat
2023-03-09,0.5008756742824925,Landsat
2023-03-25,0.430354686738805,Landsat
2023-03-25,0.4886756172046679,Landsat
2023-04-02,0.5171673107918263,Landsat
2023-04-02,0.5265066532601422,Landsat
2023-04-10,0.5053237839393665,Landsat
2023-04-10,0.5063875648482665,Landsat
2023-04-18,0.4689568654320852,Landsat
2023-04-18,0.4710292018968531,Landsat
2023-04-26,0.45657102744259437,Landsat
2023-04-26,0.4641043123053382,Landsat
2023-05-04,0.555054384277345,Landsat
2023-05-04,0.5311903839447647,Landsat
2023-05-20,0.585974427813158,Landsat
2023-05-20,0.5863810620385435,Landsat
2023-05-28,0.5794800731588486,Landsat
2023-05-28,0.5802171253080259,Landsat
2023-06-05,0.5029239246636912,Landsat
2023-06-05,0.5021473750050414,Landsat
2023-06-13,0.5386605123667275,Landsat
2023-06-13,0.5422231633862,Landsat
2023-06-29,0.6289631522050252,Landsat
2023-06-29,0.6354873281338901,Landsat
2023-07-15,0.7216344070645581,Landsat
2023-07-15,0.7223060061043733,Landsat
2023-08-16,0.6577575310938254,Landsat
